CMDLINE uv run ./cs336_basics/bbpe_tokenizer.py
MEM 0.996094 1773012451.3749
CHLD 25412 0.015625 1773012451.3828
CHLD 36952 0.015625 1773012451.3828
CHLD 61868 1881.296875 1773012451.3828
MEM 0.996094 1773012451.4848
CHLD 25412 0.015625 1773012451.4932
CHLD 36952 0.015625 1773012451.4932
CHLD 61868 2002.273438 1773012451.4932
MEM 0.996094 1773012451.5946
CHLD 25412 0.015625 1773012451.6016
CHLD 36952 0.015625 1773012451.6016
CHLD 61868 2211.890625 1773012451.6016
MEM 0.996094 1773012451.7034
CHLD 25412 0.015625 1773012451.7076
CHLD 36952 0.015625 1773012451.7076
CHLD 61868 2391.250000 1773012451.7076
MEM 0.996094 1773012451.8118
CHLD 25412 0.015625 1773012451.8209
CHLD 36952 0.015625 1773012451.8209
CHLD 61868 2577.562500 1773012451.8209
MEM 0.996094 1773012451.9219
CHLD 25412 0.015625 1773012451.9282
CHLD 36952 0.015625 1773012451.9282
CHLD 61868 2659.371094 1773012451.9282
MEM 0.996094 1773012452.0329
CHLD 25412 0.015625 1773012452.0436
CHLD 36952 0.015625 1773012452.0436
CHLD 61868 2606.082031 1773012452.0436
MEM 0.996094 1773012452.1456
CHLD 25412 0.015625 1773012452.1551
CHLD 36952 0.015625 1773012452.1551
CHLD 61868 2779.058594 1773012452.1551
MEM 0.996094 1773012452.2564
CHLD 25412 0.015625 1773012452.2642
CHLD 36952 0.015625 1773012452.2642
CHLD 61868 2960.218750 1773012452.2642
MEM 0.996094 1773012452.3662
CHLD 25412 0.015625 1773012452.3781
CHLD 36952 0.015625 1773012452.3781
CHLD 61868 2722.339844 1773012452.3781
MEM 0.996094 1773012452.4825
CHLD 25412 0.015625 1773012452.4936
CHLD 36952 0.015625 1773012452.4936
CHLD 61868 2371.527344 1773012452.4936
MEM 0.996094 1773012452.5956
CHLD 25412 0.015625 1773012452.6040
CHLD 36952 0.015625 1773012452.6040
CHLD 61868 2051.027344 1773012452.6040
MEM 0.996094 1773012452.7058
CHLD 25412 0.015625 1773012452.7151
CHLD 36952 0.015625 1773012452.7151
CHLD 61868 1779.738281 1773012452.7151
MEM 0.996094 1773012452.8164
CHLD 25412 0.015625 1773012452.8225
CHLD 36952 0.015625 1773012452.8225
CHLD 61868 1598.722656 1773012452.8225
MEM 0.996094 1773012452.9262
CHLD 25412 0.015625 1773012452.9368
CHLD 36952 0.015625 1773012452.9368
CHLD 61868 1777.289062 1773012452.9368
MEM 0.996094 1773012453.0371
CHLD 25412 0.015625 1773012453.0469
CHLD 36952 0.015625 1773012453.0469
CHLD 61868 1948.003906 1773012453.0469
MEM 0.996094 1773012453.1500
CHLD 25412 0.015625 1773012453.1591
CHLD 36952 0.015625 1773012453.1591
CHLD 61868 2110.054688 1773012453.1591
MEM 0.996094 1773012453.2609
CHLD 25412 0.015625 1773012453.2680
CHLD 36952 0.015625 1773012453.2680
CHLD 61868 2287.152344 1773012453.2680
MEM 0.996094 1773012453.3702
CHLD 25412 0.015625 1773012453.3790
CHLD 36952 0.015625 1773012453.3790
CHLD 61868 2444.386719 1773012453.3790
MEM 0.996094 1773012453.4827
CHLD 25412 0.015625 1773012453.4896
CHLD 36952 0.015625 1773012453.4896
CHLD 61868 2420.449219 1773012453.4896
MEM 0.996094 1773012453.5916
CHLD 25412 0.015625 1773012453.5987
CHLD 36952 0.015625 1773012453.5987
CHLD 61868 2384.523438 1773012453.5987
MEM 0.996094 1773012453.7007
CHLD 25412 0.015625 1773012453.7095
CHLD 36952 0.015625 1773012453.7095
CHLD 61868 2337.226562 1773012453.7095
MEM 0.996094 1773012453.8102
CHLD 25412 0.015625 1773012453.8191
CHLD 36952 0.015625 1773012453.8191
CHLD 61868 2297.835938 1773012453.8191
MEM 0.996094 1773012453.9194
CHLD 25412 0.015625 1773012453.9274
CHLD 36952 0.015625 1773012453.9274
CHLD 61868 2134.960938 1773012453.9274
MEM 0.996094 1773012454.0293
CHLD 25412 0.015625 1773012454.0366
CHLD 36952 0.015625 1773012454.0366
CHLD 61868 2004.375000 1773012454.0366
MEM 0.996094 1773012454.1386
CHLD 25412 0.015625 1773012454.1469
CHLD 36952 0.015625 1773012454.1469
CHLD 61868 2019.519531 1773012454.1469
MEM 0.996094 1773012454.2475
CHLD 25412 0.015625 1773012454.2530
CHLD 36952 0.015625 1773012454.2530
CHLD 61868 2031.714844 1773012454.2530
MEM 0.996094 1773012454.3568
CHLD 25412 0.015625 1773012454.3621
CHLD 36952 0.015625 1773012454.3621
CHLD 61868 2048.531250 1773012454.3621
MEM 0.996094 1773012454.4653
CHLD 25412 0.015625 1773012454.4704
CHLD 36952 0.015625 1773012454.4704
CHLD 61868 2068.601562 1773012454.4704
MEM 0.996094 1773012454.5745
CHLD 25412 0.015625 1773012454.5825
CHLD 36952 0.015625 1773012454.5825
CHLD 61868 2086.613281 1773012454.5825
MEM 0.996094 1773012454.6828
CHLD 25412 0.015625 1773012454.6878
CHLD 36952 0.015625 1773012454.6878
CHLD 61868 2104.074219 1773012454.6878
MEM 0.996094 1773012454.7918
CHLD 25412 0.015625 1773012454.7970
CHLD 36952 0.015625 1773012454.7970
CHLD 61868 2122.832031 1773012454.7970
MEM 0.996094 1773012454.9010
CHLD 25412 0.015625 1773012454.9062
CHLD 36952 0.015625 1773012454.9062
CHLD 61868 2149.324219 1773012454.9062
MEM 0.996094 1773012455.0096
CHLD 25412 0.015625 1773012455.0168
CHLD 36952 0.015625 1773012455.0168
CHLD 61868 2174.101562 1773012455.0168
MEM 0.996094 1773012455.1184
CHLD 25412 0.015625 1773012455.1214
CHLD 36952 0.015625 1773012455.1214
CHLD 61868 2192.144531 1773012455.1214
MEM 0.996094 1773012455.2267
CHLD 25412 0.015625 1773012455.2315
CHLD 36952 0.015625 1773012455.2315
CHLD 61868 2211.085938 1773012455.2315
MEM 0.996094 1773012455.3358
CHLD 25412 0.015625 1773012455.3408
CHLD 36952 0.015625 1773012455.3408
CHLD 61868 2232.992188 1773012455.3408
MEM 0.996094 1773012455.4450
CHLD 25412 0.015625 1773012455.4501
CHLD 36952 0.015625 1773012455.4501
CHLD 61868 2255.382812 1773012455.4501
MEM 0.996094 1773012455.5532
CHLD 25412 0.015625 1773012455.5584
CHLD 36952 0.015625 1773012455.5584
CHLD 61868 2273.460938 1773012455.5584
MEM 0.996094 1773012455.6614
CHLD 25412 0.015625 1773012455.6694
CHLD 36952 0.015625 1773012455.6694
CHLD 61868 2291.687500 1773012455.6694
MEM 0.996094 1773012455.7698
CHLD 25412 0.015625 1773012455.7766
CHLD 36952 0.015625 1773012455.7766
CHLD 61868 2309.890625 1773012455.7766
MEM 0.996094 1773012455.8780
CHLD 25412 0.015625 1773012455.8855
CHLD 36952 0.015625 1773012455.8855
CHLD 61868 2328.527344 1773012455.8855
MEM 0.996094 1773012455.9862
CHLD 25412 0.015625 1773012455.9903
CHLD 36952 0.015625 1773012455.9903
CHLD 61868 2346.871094 1773012455.9903
MEM 0.996094 1773012456.0950
CHLD 25412 0.015625 1773012456.1020
CHLD 36952 0.015625 1773012456.1020
CHLD 61868 2367.332031 1773012456.1020
MEM 0.996094 1773012456.2034
CHLD 25412 0.015625 1773012456.2096
CHLD 36952 0.015625 1773012456.2096
CHLD 61868 2382.980469 1773012456.2096
MEM 0.996094 1773012456.3116
CHLD 25412 0.015625 1773012456.3136
CHLD 36952 0.015625 1773012456.3136
CHLD 61868 2400.097656 1773012456.3136
MEM 0.996094 1773012456.4194
CHLD 25412 0.015625 1773012456.4251
